# Processed AFM image name: G_WbbL_2_save-2025.07.21-16.37.02.142_0_0
# Image extent (xmin, xmax, ymin, ymax) [nm]:
#(0.0,439.45312500000017,0,500.00000000000017)
trimer_index,y_nm,x_nm,
0,117.18750000000004,83.98437500000003,
1,125.97656250000004,186.52343750000006,
2,32.226562500000014,44.921875000000014,
3,289.0625000000001,12.695312500000004,
4,7.812500000000003,162.10937500000006,
5,314.4531250000001,73.24218750000003,
6,31.25000000000001,12.695312500000004,
7,331.0546875000001,358.3984375000001,
8,181.64062500000006,47.851562500000014,
9,467.77343750000017,48.828125000000014,
10,341.7968750000001,15.625000000000005,
11,280.2734375000001,305.6640625000001,
12,343.7500000000001,26.36718750000001,
13,422.85156250000017,352.5390625000001,
14,430.66406250000017,19.531250000000007,
15,270.5078125000001,15.625000000000005,
16,267.5781250000001,72.26562500000003,
17,487.30468750000017,23.437500000000007,
18,366.2109375000001,83.98437500000003,
19,15.625000000000005,14.648437500000005,
20,75.19531250000003,11.718750000000004,
21,48.828125000000014,118.16406250000004,
22,45.898437500000014,53.71093750000002,
23,489.25781250000017,35.156250000000014,
24,35.156250000000014,57.61718750000002,
25,172.85156250000006,26.36718750000001,
26,271.4843750000001,375.0000000000001,
27,29.29687500000001,29.29687500000001,
28,322.2656250000001,8.789062500000004,
29,334.9609375000001,391.6015625000001,
30,410.1562500000001,301.7578125000001,
31,178.71093750000006,68.35937500000003,
32,329.1015625000001,15.625000000000005,
33,216.79687500000009,61.52343750000002,
34,363.2812500000001,37.109375000000014,
35,78.12500000000003,27.34375000000001,
36,215.82031250000009,20.507812500000007,
37,115.23437500000004,62.50000000000002,
38,312.5000000000001,12.695312500000004,
39,192.38281250000006,11.718750000000004,
40,289.0625000000001,25.390625000000007,
41,151.36718750000006,48.828125000000014,
42,134.76562500000006,351.5625000000001,
43,133.78906250000006,41.992187500000014,
44,398.4375000000001,13.671875000000005,
45,319.3359375000001,84.96093750000003,
46,62.50000000000002,354.4921875000001,
47,50.781250000000014,336.9140625000001,
48,254.88281250000009,84.96093750000003,
49,95.70312500000003,14.648437500000005,
50,8.789062500000004,27.34375000000001,
51,164.06250000000006,58.59375000000002,
52,253.90625000000009,389.6484375000001,
53,45.898437500000014,87.89062500000003,
54,353.5156250000001,58.59375000000002,
55,323.2421875000001,343.7500000000001,
56,76.17187500000003,250.97656250000009,
57,118.16406250000004,50.781250000000014,
58,83.00781250000003,46.875000000000014,
59,459.96093750000017,13.671875000000005,
60,358.3984375000001,381.8359375000001,
61,73.24218750000003,117.18750000000004,
62,277.3437500000001,5.859375000000002,
63,334.9609375000001,318.3593750000001,
64,378.9062500000001,18.554687500000007,
65,347.6562500000001,297.8515625000001,
66,20.507812500000007,310.5468750000001,
67,461.91406250000017,25.390625000000007,
68,74.21875000000003,304.6875000000001,
69,262.6953125000001,382.8125000000001,
70,155.27343750000006,41.015625000000014,
71,195.31250000000006,54.68750000000002,
72,251.95312500000009,33.203125000000014,
73,290.0390625000001,312.5000000000001,
74,228.51562500000009,68.35937500000003,
75,429.68750000000017,285.1562500000001,
76,256.8359375000001,281.2500000000001,
77,437.50000000000017,9.765625000000004,
78,413.0859375000001,335.9375000000001,
79,398.4375000000001,275.3906250000001,
80,160.15625000000006,47.851562500000014,
81,34.179687500000014,325.1953125000001,
82,67.38281250000003,282.2265625000001,
83,70.31250000000003,42.968750000000014,
84,43.945312500000014,330.0781250000001,
85,216.79687500000009,50.781250000000014,
86,77.14843750000003,233.39843750000009,
87,358.3984375000001,120.11718750000004,
88,476.56250000000017,340.8203125000001,
89,13.671875000000005,175.78125000000006,
90,471.67968750000017,302.7343750000001,
91,382.8125000000001,79.10156250000003,
92,21.484375000000007,61.52343750000002,
93,322.2656250000001,258.7890625000001,
94,168.94531250000006,42.968750000000014,
95,122.07031250000004,401.3671875000001,
96,455.07812500000017,50.781250000000014,
97,332.0312500000001,85.93750000000003,
98,347.6562500000001,42.968750000000014,
99,37.109375000000014,285.1562500000001,
100,99.60937500000003,49.804687500000014,
101,361.3281250000001,305.6640625000001,
102,66.40625000000003,14.648437500000005,
103,27.34375000000001,103.51562500000003,
104,422.85156250000017,303.7109375000001,
105,211.91406250000009,302.7343750000001,
106,186.52343750000006,367.1875000000001,
107,362.3046875000001,48.828125000000014,
108,22.460937500000007,73.24218750000003,
109,19.531250000000007,336.9140625000001,
110,462.89062500000017,72.26562500000003,
111,322.2656250000001,57.61718750000002,
112,57.61718750000002,272.4609375000001,
113,116.21093750000004,72.26562500000003,
114,179.68750000000006,384.7656250000001,
115,148.43750000000006,78.12500000000003,
116,263.6718750000001,26.36718750000001,
117,24.414062500000007,348.6328125000001,
118,479.49218750000017,55.66406250000002,
119,40.039062500000014,107.42187500000004,
120,43.945312500000014,72.26562500000003,
121,440.42968750000017,106.44531250000004,
122,381.8359375000001,300.7812500000001,
123,219.72656250000009,338.8671875000001,
124,95.70312500000003,201.17187500000006,
125,91.79687500000003,79.10156250000003,
126,73.24218750000003,363.2812500000001,
127,107.42187500000004,207.03125000000006,
128,493.16406250000017,317.3828125000001,
129,328.1250000000001,275.3906250000001,
130,335.9375000000001,7.812500000000003,
131,328.1250000000001,69.33593750000003,
132,117.18750000000004,36.132812500000014,
133,118.16406250000004,363.2812500000001,
134,157.22656250000006,418.94531250000017,
135,169.92187500000006,70.31250000000003,
136,166.01562500000006,310.5468750000001,
137,114.25781250000004,126.95312500000004,
138,29.29687500000001,382.8125000000001,
139,28.32031250000001,146.48437500000006,
140,163.08593750000006,280.2734375000001,
141,159.17968750000006,323.2421875000001,
142,368.1640625000001,228.51562500000009,
143,368.1640625000001,11.718750000000004,
144,6.835937500000003,338.8671875000001,
145,94.72656250000003,302.7343750000001,
146,81.05468750000003,270.5078125000001,
147,369.1406250000001,97.65625000000003,
148,237.30468750000009,26.36718750000001,
149,35.156250000000014,392.5781250000001,
150,275.3906250000001,284.1796875000001,
151,488.28125000000017,200.19531250000006,
152,393.5546875000001,223.63281250000009,
153,64.45312500000003,369.1406250000001,
154,145.50781250000006,37.109375000000014,
155,257.8125000000001,20.507812500000007,
156,56.64062500000002,260.7421875000001,
157,370.1171875000001,339.8437500000001,
158,201.17187500000006,87.89062500000003,
159,483.39843750000017,291.9921875000001,
160,288.0859375000001,74.21875000000003,
161,234.37500000000009,62.50000000000002,
162,144.53125000000006,91.79687500000003,
163,56.64062500000002,85.93750000000003,
164,120.11718750000004,413.0859375000001,
165,470.70312500000017,86.91406250000003,
166,131.83593750000006,337.8906250000001,
167,279.2968750000001,332.0312500000001,
168,6.835937500000003,77.14843750000003,
169,412.1093750000001,366.2109375000001,
170,40.039062500000014,16.601562500000007,
171,355.4687500000001,67.38281250000003,
172,409.1796875000001,6.835937500000003,
173,421.87500000000017,30.27343750000001,
174,304.6875000000001,23.437500000000007,
175,152.34375000000006,295.8984375000001,
176,41.015625000000014,32.226562500000014,
177,25.390625000000007,356.4453125000001,
178,348.6328125000001,350.5859375000001,
179,127.92968750000004,303.7109375000001,
180,285.1562500000001,375.0000000000001,
181,467.77343750000017,324.2187500000001,
182,7.812500000000003,18.554687500000007,
183,37.109375000000014,192.38281250000006,
184,329.1015625000001,41.015625000000014,
185,413.0859375000001,248.04687500000009,
186,448.24218750000017,365.2343750000001,
187,404.2968750000001,290.0390625000001,
188,189.45312500000006,401.3671875000001,
189,35.156250000000014,128.90625000000006,
190,379.8828125000001,230.46875000000009,
191,175.78125000000006,371.0937500000001,
192,243.16406250000009,82.03125000000003,
193,18.554687500000007,166.01562500000006,
194,131.83593750000006,390.6250000000001,
195,166.01562500000006,429.68750000000017,
196,385.7421875000001,89.84375000000003,
197,408.2031250000001,19.531250000000007,
198,91.79687500000003,220.70312500000009,
199,90.82031250000003,361.3281250000001,
200,132.81250000000006,31.25000000000001,
201,263.6718750000001,304.6875000000001,
202,194.33593750000006,82.03125000000003,
203,110.35156250000004,137.69531250000006,
204,13.671875000000005,397.4609375000001,
205,340.8203125000001,384.7656250000001,
206,309.5703125000001,57.61718750000002,
207,493.16406250000017,95.70312500000003,
208,249.02343750000009,23.437500000000007,
209,306.6406250000001,371.0937500000001,
210,363.2812500000001,323.2421875000001,
211,60.54687500000002,237.30468750000009,
212,353.5156250000001,318.3593750000001,
213,36.132812500000014,141.60156250000006,
214,136.71875000000006,53.71093750000002,
215,365.2343750000001,110.35156250000004,
216,79.10156250000003,387.6953125000001,
217,88.86718750000003,23.437500000000007,
218,479.49218750000017,21.484375000000007,
219,184.57031250000006,26.36718750000001,
220,320.3125000000001,291.0156250000001,
221,62.50000000000002,335.9375000000001,
222,404.2968750000001,71.28906250000003,
223,127.92968750000004,64.45312500000003,
224,62.50000000000002,125.00000000000004,
225,354.4921875000001,48.828125000000014,
226,283.2031250000001,118.16406250000004,
227,453.12500000000017,219.72656250000009,
228,466.79687500000017,288.0859375000001,
229,244.14062500000009,296.8750000000001,
230,18.554687500000007,365.2343750000001,
231,194.33593750000006,358.3984375000001,
232,354.4921875000001,255.85937500000009,
233,104.49218750000004,254.88281250000009,
234,415.0390625000001,312.5000000000001,
235,429.68750000000017,396.4843750000001,
236,286.1328125000001,323.2421875000001,
237,397.4609375000001,30.27343750000001,
238,452.14843750000017,28.32031250000001,
239,436.52343750000017,31.25000000000001,
240,354.4921875000001,285.1562500000001,
241,253.90625000000009,409.1796875000001,
242,445.31250000000017,146.48437500000006,
243,57.61718750000002,155.27343750000006,
244,299.8046875000001,309.5703125000001,
245,78.12500000000003,92.77343750000003,
246,313.4765625000001,348.6328125000001,
247,35.156250000000014,360.3515625000001,
248,448.24218750000017,16.601562500000007,
249,81.05468750000003,102.53906250000003,
250,276.3671875000001,83.00781250000003,
251,284.1796875000001,60.54687500000002,
252,154.29687500000006,58.59375000000002,
253,129.88281250000006,76.17187500000003,
254,67.38281250000003,26.36718750000001,
255,41.992187500000014,202.14843750000006,
256,318.3593750000001,45.898437500000014,
257,8.789062500000004,186.52343750000006,
258,52.73437500000002,171.87500000000006,
259,27.34375000000001,183.59375000000006,
260,201.17187500000006,127.92968750000004,
261,348.6328125000001,75.19531250000003,
262,46.875000000000014,143.55468750000006,
263,483.39843750000017,9.765625000000004,
264,44.921875000000014,99.60937500000003,
265,59.57031250000002,47.851562500000014,
266,34.179687500000014,86.91406250000003,
