# Processed AFM image name: MG_C2_save-2025.07.21-15.47.02.798
# Image extent (xmin, xmax, ymin, ymax) [nm]:
#(0.0,500.0000000000003,0.0,500.0000000000003)
trimer_index,y_nm,x_nm
0,367.1875000000002,485.3515625000003
1,319.33593750000017,331.05468750000017
2,451.1718750000003,354.4921875000002
3,311.52343750000017,392.5781250000002
4,65.42968750000004,322.26562500000017
5,357.4218750000002,471.6796875000003
6,168.94531250000009,272.46093750000017
7,180.6640625000001,296.87500000000017
8,368.1640625000002,492.1875000000003
9,228.51562500000014,344.72656250000017
10,175.7812500000001,410.1562500000002
11,266.60156250000017,86.91406250000004
12,196.2890625000001,123.04687500000007
13,135.74218750000009,366.2109375000002
14,284.17968750000017,256.83593750000017
15,260.74218750000017,393.5546875000002
16,118.16406250000007,401.3671875000002
17,66.40625000000004,340.82031250000017
18,329.10156250000017,321.28906250000017
19,172.85156250000009,347.65625000000017
20,312.50000000000017,342.77343750000017
21,204.1015625000001,416.9921875000002
22,19.53125000000001,439.4531250000002
23,175.7812500000001,219.7265625000001
24,208.0078125000001,339.84375000000017
25,336.91406250000017,415.0390625000002
26,186.5234375000001,389.6484375000002
27,210.9375000000001,402.3437500000002
28,339.84375000000017,428.7109375000002
29,35.15625000000002,431.6406250000002
30,64.45312500000004,388.6718750000002
31,252.92968750000014,317.38281250000017
32,102.53906250000006,390.6250000000002
33,89.84375000000006,297.85156250000017
34,99.60937500000006,316.40625000000017
35,349.60937500000017,294.92187500000017
36,319.33593750000017,383.7890625000002
37,161.13281250000009,402.3437500000002
38,206.0546875000001,356.4453125000002
39,72.26562500000004,149.41406250000009
40,406.2500000000002,457.0312500000003
41,142.57812500000009,337.89062500000017
42,293.94531250000017,411.1328125000002
43,29.296875000000018,74.21875000000004
44,210.9375000000001,376.9531250000002
45,289.06250000000017,360.3515625000002
46,162.10937500000009,324.21875000000017
47,38.08593750000002,405.2734375000002
48,54.68750000000003,379.8828125000002
49,111.32812500000006,385.7421875000002
50,9.765625000000005,400.3906250000002
51,30.273437500000018,323.24218750000017
52,288.08593750000017,277.34375000000017
53,225.58593750000014,391.6015625000002
54,161.13281250000009,419.9218750000002
55,27.343750000000014,110.35156250000006
56,107.42187500000006,298.82812500000017
57,430.6640625000002,386.7187500000002
58,202.1484375000001,311.52343750000017
59,465.8203125000003,463.8671875000003
60,88.86718750000006,316.40625000000017
61,70.31250000000004,369.1406250000002
62,475.5859375000003,351.5625000000002
63,16.60156250000001,302.73437500000017
64,174.80468750000009,359.3750000000002
65,157.22656250000009,268.55468750000017
66,183.5937500000001,76.17187500000004
67,13.671875000000007,448.2421875000002
68,439.4531250000002,428.7109375000002
69,54.68750000000003,393.5546875000002
70,164.06250000000009,262.69531250000017
71,392.5781250000002,454.1015625000003
72,458.9843750000003,26.367187500000014
73,13.671875000000007,113.28125000000007
74,189.4531250000001,357.4218750000002
75,19.53125000000001,173.82812500000009
76,210.9375000000001,260.74218750000017
77,167.96875000000009,291.01562500000017
78,433.5937500000002,401.3671875000002
79,149.41406250000009,303.71093750000017
80,190.4296875000001,335.93750000000017
81,208.0078125000001,389.6484375000002
82,321.28906250000017,10.742187500000005
83,55.66406250000003,328.12500000000017
84,127.92968750000007,395.5078125000002
85,94.72656250000006,329.10156250000017
86,492.1875000000003,312.50000000000017
87,180.6640625000001,435.5468750000002
88,86.91406250000004,113.28125000000007
89,416.9921875000002,451.1718750000003
90,365.2343750000002,38.08593750000002
91,375.9765625000002,369.1406250000002
92,129.88281250000009,26.367187500000014
93,77.14843750000004,314.45312500000017
94,456.0546875000003,456.0546875000003
95,329.10156250000017,411.1328125000002
96,362.3046875000002,370.1171875000002
97,83.98437500000004,276.36718750000017
98,387.6953125000002,331.05468750000017
99,232.42187500000014,363.2812500000002
100,17.57812500000001,101.56250000000006
101,260.74218750000017,292.96875000000017
102,223.6328125000001,213.8671875000001
103,430.6640625000002,318.35937500000017
104,252.92968750000014,162.10937500000009
105,122.07031250000007,196.2890625000001
106,467.7734375000003,479.4921875000003
107,215.8203125000001,433.5937500000002
108,8.789062500000005,21.48437500000001
109,97.65625000000006,205.0781250000001
110,124.02343750000007,439.4531250000002
111,77.14843750000004,41.99218750000002
112,120.11718750000007,282.22656250000017
113,11.718750000000007,353.5156250000002
114,266.60156250000017,338.86718750000017
115,188.4765625000001,403.3203125000002
116,383.7890625000002,108.39843750000006
117,447.2656250000002,398.4375000000002
118,48.82812500000003,283.20312500000017
119,326.17187500000017,387.6953125000002
120,418.9453125000002,426.7578125000002
121,163.08593750000009,300.78125000000017
122,395.5078125000002,422.8515625000002
123,126.95312500000007,377.9296875000002
124,218.7500000000001,291.99218750000017
125,257.81250000000017,454.1015625000003
126,455.0781250000003,376.9531250000002
127,257.81250000000017,121.09375000000007
128,363.2812500000002,88.86718750000006
129,91.79687500000006,344.72656250000017
130,124.02343750000007,301.75781250000017
131,99.60937500000006,108.39843750000006
132,408.2031250000002,439.4531250000002
133,294.92187500000017,423.8281250000002
134,102.53906250000006,441.4062500000002
135,160.15625000000009,336.91406250000017
136,281.25000000000017,168.94531250000009
137,394.5312500000002,390.6250000000002
138,107.42187500000006,285.15625000000017
139,323.24218750000017,307.61718750000017
140,120.11718750000007,322.26562500000017
141,424.8046875000002,307.61718750000017
142,186.5234375000001,283.20312500000017
143,147.46093750000009,248.04687500000014
144,275.39062500000017,341.79687500000017
145,209.9609375000001,45.89843750000003
146,378.9062500000002,342.77343750000017
147,377.9296875000002,74.21875000000004
148,488.2812500000003,374.0234375000002
149,331.05468750000017,49.80468750000003
150,302.73437500000017,167.96875000000009
151,434.5703125000002,469.7265625000003
152,430.6640625000002,424.8046875000002
153,451.1718750000003,321.28906250000017
154,402.3437500000002,164.06250000000009
155,33.20312500000002,26.367187500000014
156,381.8359375000002,383.7890625000002
157,366.2109375000002,359.3750000000002
158,352.5390625000002,384.7656250000002
159,171.87500000000009,440.4296875000002
160,425.7812500000002,455.0781250000003
161,321.28906250000017,284.17968750000017
162,280.27343750000017,239.25781250000014
163,291.99218750000017,299.80468750000017
164,431.6406250000002,486.3281250000003
165,143.55468750000009,417.9687500000002
166,450.1953125000003,408.2031250000002
167,199.2187500000001,166.99218750000009
168,192.3828125000001,373.0468750000002
169,321.28906250000017,417.9687500000002
170,250.97656250000014,446.2890625000002
171,313.47656250000017,421.8750000000002
172,101.56250000000006,269.53125000000017
173,144.53125000000009,403.3203125000002
174,249.02343750000014,384.7656250000002
175,465.8203125000003,125.97656250000007
176,481.4453125000003,382.8125000000002
177,173.82812500000009,451.1718750000003
178,28.320312500000018,387.6953125000002
179,307.61718750000017,81.05468750000004
180,378.9062500000002,451.1718750000003
181,349.60937500000017,439.4531250000002
182,458.0078125000003,401.3671875000002
183,216.7968750000001,364.2578125000002
184,8.789062500000005,79.10156250000004
185,372.0703125000002,55.66406250000003
186,164.06250000000009,250.97656250000014
187,290.03906250000017,376.9531250000002
188,422.8515625000002,402.3437500000002
189,38.08593750000002,131.83593750000009
190,363.2812500000002,409.1796875000002
191,42.96875000000002,358.3984375000002
192,254.88281250000014,344.72656250000017
193,470.7031250000003,382.8125000000002
194,195.3125000000001,391.6015625000002
