# Processed AFM image name: MG1_C1_save-2025.10.02-12.14.40.128
# Image extent (xmin, xmax, ymin, ymax) [nm]:
#(0.0,499.99999999999966,0.0,499.99999999999966)
trimer_index,y_nm,x_nm
0,105.46874999999993,421.8749999999997
1,87.89062499999994,426.7578124999997
2,28.320312499999982,323.2421874999998
3,272.46093749999983,298.8281249999998
4,130.85937499999991,385.7421874999997
5,375.9765624999997,390.6249999999997
6,110.35156249999993,285.15624999999983
7,91.79687499999994,345.7031249999998
8,216.79687499999986,383.7890624999997
9,402.3437499999997,376.9531249999997
10,325.1953124999998,347.6562499999998
11,142.57812499999991,312.4999999999998
12,173.8281249999999,344.7265624999998
13,159.1796874999999,325.1953124999998
14,82.03124999999994,360.3515624999998
15,297.8515624999998,251.95312499999983
16,207.03124999999986,359.3749999999998
17,44.92187499999997,311.5234374999998
18,139.64843749999991,286.13281249999983
19,167.9687499999999,67.38281249999996
20,157.2265624999999,254.88281249999983
21,370.1171874999998,72.26562499999996
22,313.4765624999998,376.9531249999997
23,123.04687499999991,204.10156249999986
24,28.320312499999982,292.9687499999998
25,22.460937499999986,389.6484374999997
26,288.08593749999983,278.32031249999983
27,71.28906249999996,370.1171874999998
28,161.1328124999999,360.3515624999998
29,361.3281249999998,276.36718749999983
30,225.58593749999986,431.6406249999997
31,306.6406249999998,379.8828124999997
32,107.42187499999993,438.4765624999997
33,15.62499999999999,378.9062499999997
34,180.6640624999999,420.8984374999997
35,199.21874999999986,272.46093749999983
36,218.74999999999986,196.28906249999986
37,132.81249999999991,398.4374999999997
38,169.9218749999999,434.5703124999997
39,491.21093749999966,308.5937499999998
40,48.828124999999964,220.70312499999986
41,310.5468749999998,368.1640624999998
42,203.12499999999986,389.6484374999997
43,109.37499999999993,412.1093749999997
44,121.09374999999991,374.0234374999998
45,70.31249999999996,429.6874999999997
46,6.835937499999996,281.24999999999983
47,207.03124999999986,333.0078124999998
48,14.64843749999999,336.9140624999998
49,385.7421874999997,359.3749999999998
50,228.51562499999986,289.06249999999983
51,321.2890624999998,404.2968749999997
52,39.06249999999997,82.03124999999994
53,228.51562499999986,277.34374999999983
54,212.89062499999986,217.77343749999986
55,136.71874999999991,274.41406249999983
56,225.58593749999986,133.78906249999991
57,28.320312499999982,312.4999999999998
58,426.7578124999997,360.3515624999998
59,467.77343749999966,341.7968749999998
60,150.3906249999999,192.38281249999986
61,91.79687499999994,372.0703124999998
62,97.65624999999993,359.3749999999998
63,303.7109374999998,349.6093749999998
64,31.24999999999998,200.19531249999986
65,147.4609374999999,115.23437499999991
66,270.50781249999983,342.7734374999998
67,258.78906249999983,462.89062499999966
68,110.35156249999993,271.48437499999983
69,192.38281249999986,355.4687499999998
70,119.14062499999991,404.2968749999997
71,152.3437499999999,69.33593749999996
72,319.3359374999998,317.3828124999998
73,292.9687499999998,298.8281249999998
74,381.8359374999997,338.8671874999998
75,116.21093749999991,323.2421874999998
76,40.03906249999997,227.53906249999986
