# Processed AFM image name: MG3_C3_save-2025.10.03-15.19.52.655
# Image extent (xmin, xmax, ymin, ymax) [nm]:
#(0.0,500.0,0.0,500.0)
trimer_index,y_nm,x_nm
0,239.2578125,105.46875
1,96.6796875,95.703125
2,438.4765625,36.1328125
3,104.4921875,109.375
4,46.875,70.3125
5,92.7734375,159.1796875
6,162.109375,35.15625
7,307.6171875,38.0859375
8,418.9453125,113.28125
9,425.78125,20.5078125
10,307.6171875,69.3359375
11,243.1640625,78.125
12,281.25,23.4375
13,265.625,98.6328125
14,462.890625,32.2265625
15,289.0625,60.546875
16,407.2265625,113.28125
17,485.3515625,91.796875
18,404.296875,40.0390625
19,339.84375,49.8046875
20,19.53125,34.1796875
21,315.4296875,47.8515625
22,6.8359375,122.0703125
23,443.359375,25.390625
24,81.0546875,163.0859375
25,370.1171875,52.734375
26,366.2109375,39.0625
27,168.9453125,24.4140625
28,14.6484375,142.578125
29,77.1484375,118.1640625
30,89.84375,84.9609375
31,426.7578125,68.359375
32,389.6484375,136.71875
33,411.1328125,54.6875
34,123.046875,41.9921875
35,394.53125,102.5390625
36,73.2421875,102.5390625
37,41.9921875,113.28125
38,247.0703125,46.875
39,482.421875,23.4375
40,59.5703125,89.84375
41,383.7890625,76.171875
42,420.8984375,78.125
43,290.0390625,73.2421875
44,302.734375,54.6875
45,274.4140625,83.984375
46,290.0390625,83.984375
47,476.5625,101.5625
48,124.0234375,13.671875
49,156.25,23.4375
50,319.3359375,17.578125
51,471.6796875,22.4609375
52,313.4765625,83.0078125
53,32.2265625,181.640625
54,44.921875,153.3203125
55,491.2109375,37.109375
56,418.9453125,60.546875
57,402.34375,131.8359375
58,102.5390625,204.1015625
59,85.9375,95.703125
60,37.109375,203.125
61,309.5703125,9.765625
62,394.53125,124.0234375
63,40.0390625,165.0390625
64,350.5859375,69.3359375
65,351.5625,79.1015625
66,83.0078125,70.3125
67,268.5546875,22.4609375
68,339.84375,73.2421875
69,29.296875,107.421875
70,26.3671875,98.6328125
71,117.1875,114.2578125
72,292.96875,21.484375
73,36.1328125,28.3203125
74,372.0703125,43.9453125
75,55.6640625,230.46875
76,40.0390625,143.5546875
77,21.484375,78.125
78,356.4453125,49.8046875
79,294.921875,29.296875
80,97.65625,291.9921875
81,205.078125,8.7890625
82,238.28125,174.8046875
83,465.8203125,73.2421875
84,465.8203125,96.6796875
85,56.640625,290.0390625
86,141.6015625,25.390625
87,14.6484375,174.8046875
88,23.4375,278.3203125
89,58.59375,48.828125
90,118.1640625,54.6875
91,61.5234375,136.71875
92,67.3828125,110.3515625
93,414.0625,21.484375
94,304.6875,19.53125
95,129.8828125,173.828125
96,16.6015625,12.6953125
97,119.140625,178.7109375
98,69.3359375,51.7578125
99,250.0,87.890625
100,31.25,71.2890625
101,64.453125,187.5
102,53.7109375,113.28125
103,399.4140625,29.296875
104,84.9609375,149.4140625
105,59.5703125,76.171875
106,268.5546875,152.34375
107,416.015625,97.65625
108,191.40625,35.15625
109,162.109375,99.609375
110,232.421875,154.296875
111,83.0078125,79.1015625
112,409.1796875,78.125
113,205.078125,92.7734375
114,284.1796875,33.203125
115,460.9375,22.4609375
116,437.5,79.1015625
117,19.53125,184.5703125
118,34.1796875,248.046875
119,405.2734375,205.078125
120,475.5859375,81.0546875
121,19.53125,49.8046875
122,417.96875,87.890625
123,49.8046875,196.2890625
124,185.546875,57.6171875
125,245.1171875,298.828125
126,99.609375,21.484375
127,465.8203125,85.9375
128,429.6875,85.9375
129,59.5703125,66.40625
130,441.40625,94.7265625
131,376.953125,83.984375
132,466.796875,109.375
133,6.8359375,186.5234375
134,79.1015625,88.8671875
135,138.671875,155.2734375
136,261.71875,57.6171875
137,355.46875,101.5625
138,481.4453125,49.8046875
139,191.40625,24.4140625
140,251.953125,20.5078125
141,394.53125,52.734375
142,296.875,40.0390625
143,11.71875,41.015625
144,20.5078125,154.296875
145,113.28125,130.859375
146,155.2734375,71.2890625
147,136.71875,12.6953125
148,358.3984375,20.5078125
149,104.4921875,139.6484375
150,172.8515625,162.109375
151,244.140625,120.1171875
152,287.109375,7.8125
153,333.984375,7.8125
154,366.2109375,152.34375
155,458.984375,79.1015625
156,264.6484375,87.890625
157,32.2265625,46.875
158,253.90625,73.2421875
159,160.15625,211.9140625
160,58.59375,104.4921875
161,422.8515625,226.5625
162,29.296875,57.6171875
163,104.4921875,85.9375
164,134.765625,41.015625
165,180.6640625,79.1015625
166,272.4609375,64.453125
167,352.5390625,29.296875
168,185.546875,89.84375
169,50.78125,298.828125
170,388.671875,67.3828125
171,229.4921875,17.578125
172,66.40625,17.578125
173,433.59375,13.671875
174,392.578125,14.6484375
175,47.8515625,258.7890625
176,145.5078125,48.828125
177,92.7734375,423.828125
178,69.3359375,83.0078125
179,81.0546875,175.78125
180,433.59375,110.3515625
181,445.3125,43.9453125
182,283.203125,120.1171875
183,76.171875,217.7734375
184,492.1875,47.8515625
185,434.5703125,50.78125
186,263.671875,47.8515625
