,strain,image_name,patch_index,patch_centroid_x_nm,patch_centroid_y_nm,patch_area_nm2,patch_circularity
18,WT,MG_C1_save-2025.07.21-15.21.04.930,18,466.174698962785,328.61015124198724,446.319580078125,0.7696685376938238
19,WT,MG_C1_save-2025.07.21-15.21.04.930,19,320.8729178266519,56.85957219747588,428.19976806640636,0.7421680635952322
20,WT,MG_C1_save-2025.07.21-15.21.04.930,20,35.434631556442426,360.4926091552643,418.1861877441407,0.7608978478857623
21,WT,MG_C1_save-2025.07.21-15.21.04.930,21,343.406394675926,152.96540436921302,411.9873046875,0.7819288149634288
22,WT,MG_C1_save-2025.07.21-15.21.04.930,22,405.7662398726853,364.11765769675935,411.9873046875,0.7615319996990749
23,WT,MG_C1_save-2025.07.21-15.21.04.930,23,356.913632566824,376.2944059551888,404.35791015625,0.7673833781795695
24,WT,MG_C1_save-2025.07.21-15.21.04.930,24,142.2631552621049,151.10653636454586,397.2053527832031,0.7653851938817313
25,WT,MG_C1_save-2025.07.21-15.21.04.930,25,251.29031752008038,172.66330948795184,395.7748413085942,0.7257215401965652
26,WT,MG_C1_save-2025.07.21-15.21.04.930,26,424.5692128212975,65.02248763259894,389.57595825195324,0.7339963174320139
27,WT,MG_C1_save-2025.07.21-15.21.04.930,27,206.46690056570932,35.29393766318539,365.2572631835938,0.7461512725909508
28,WT,MG_C1_save-2025.07.21-15.21.04.930,28,175.76524077868854,39.83094262295082,349.0447998046875,0.7164579453388041
29,WT,MG_C2_save-2025.07.21-15.47.02.798,0,335.74646175273574,347.9007536386255,4168.987274169929,0.8112030072190793
30,WT,MG_C2_save-2025.07.21-15.47.02.798,1,141.97161313278187,283.95789176837604,2910.614013671877,0.7765411133193919
31,WT,MG_C2_save-2025.07.21-15.47.02.798,2,142.80140665629654,192.5354759665987,2567.291259765626,0.7378741408371099
32,WT,MG_C2_save-2025.07.21-15.47.02.798,3,256.702773537092,336.2550695472492,1932.6210021972709,0.6069171486088472
33,WT,MG_C2_save-2025.07.21-15.47.02.798,4,115.58868215841684,130.82732984566192,1714.7064208984389,0.7658090407804278
34,WT,MG_C2_save-2025.07.21-15.47.02.798,5,82.15621360802854,245.31346331689284,1160.1448059082054,0.8406573827282144
35,WT,MG_C2_save-2025.07.21-15.47.02.798,6,230.53787148366624,93.43481785012105,1050.9490966796895,0.7438225980400107
36,WT,MG_C2_save-2025.07.21-15.47.02.798,7,43.70445207533593,236.12100377879088,993.7286376953133,0.8881608616331683
37,WT,MG_C2_save-2025.07.21-15.47.02.798,8,38.894415644470435,301.8315870813865,816.3452148437506,0.8136175639341803
38,WT,MG_C2_save-2025.07.21-15.47.02.798,9,67.33890059872927,451.54207141984386,813.0073547363298,0.8264533642919605
39,WT,MG_C2_save-2025.07.21-15.47.02.798,10,73.45473345588238,128.12787224264713,648.4985351562502,0.846717135100187
40,WT,MG_C2_save-2025.07.21-15.47.02.798,11,320.3222737698083,215.1516237489576,571.7277526855469,0.8465613433672297
41,WT,MG_C2_save-2025.07.21-15.47.02.798,12,210.83235761197258,331.7250753660639,553.6079406738281,0.8376667307269189
42,WT,MG_C2_save-2025.07.21-15.47.02.798,13,184.38814029052003,228.8321865443426,519.7525024414067,0.7406839429834453
43,WT,MG_C2_save-2025.07.21-15.47.02.798,14,198.65387561274522,355.0857843137257,518.7988281250013,0.7474312990804808
44,WT,MG_C2_save-2025.07.21-15.47.02.798,15,277.76156409642414,208.01903735632195,497.8179931640625,0.7459807293814923
45,WT,MG_C2_save-2025.07.21-15.47.02.798,16,128.52791605211414,87.75043018682402,484.94338989257835,0.7513389371294802
46,WT,MG_C2_save-2025.07.21-15.47.02.798,17,227.08425679669045,395.79870345744706,470.6382751464844,0.7428936057112024
47,WT,MG_C2_save-2025.07.21-15.47.02.798,18,352.4502840909093,148.73342803030312,461.5783691406261,0.74998866131025
48,WT,MG_C2_save-2025.07.21-15.47.02.798,19,170.7589285714287,361.65364583333354,427.24609375000125,0.7600950020546572
49,WT,MG_C2_save-2025.07.21-15.47.02.798,20,438.859305272604,370.3930654588671,409.6031188964854,0.7610514605331898
50,WT,MG_C2_save-2025.07.21-15.47.02.798,21,454.41947770638666,235.8193085572431,408.17260742187574,0.7687636538344512
51,WT,MG_C2_save-2025.07.21-15.47.02.798,22,326.3154871323531,303.49456188725503,405.31158447265625,0.7316663095738403
52,WT,MG_C2_save-2025.07.21-15.47.02.798,23,144.9796088836479,375.35184327268666,353.81317138671875,0.7199867744262838
53,WT,MG_C2_save-2025.07.21-15.47.02.798,24,221.05228701117332,232.5691777234638,341.4154052734375,0.7075365394949642
54,WT,MG_C2_save-2025.07.21-15.47.02.798,25,85.25952845307215,400.20164338413184,328.5408020019533,0.6855675351007733
55,WT,MG_C3_save-2025.07.21-15.52.28.580,0,198.70841866204552,35.17901799779454,1513.4811401367147,0.7796134083553203
56,WT,MG_C3_save-2025.07.21-15.52.28.580,1,205.44481324077447,73.8388165933528,1300.8117675781211,0.7634680678499604
57,WT,MG_C3_save-2025.07.21-15.52.28.580,2,384.0329637714458,78.50868374693617,1296.9970703124984,0.6943459077136092
58,WT,MG_C3_save-2025.07.21-15.52.28.580,3,270.3801637054768,189.6273705267135,946.0449218749981,0.8561708350325845
59,WT,MG_C3_save-2025.07.21-15.52.28.580,4,283.66715809592233,114.524797438578,912.1894836425762,0.8091492138287121
60,WT,MG_C3_save-2025.07.21-15.52.28.580,5,231.27315142506578,313.6929619667796,842.0944213867158,0.8193629261071906
